authors,title,journal,year,doi
"Doerr M, Moore S, Barone V, Sutherland S, **Bot BM**, Suver C, Wilbanks J","Assessment of the All of Us research program’s informed consent process","AJOB Empirical Bioethics","2020","10.1080/23294515.2020.1847214"
"**Bot BM**, Wilbanks JT, Mangravite LM","Assessing the consequences of decentralizing biomedical research","Big Data & Society","2019","10.1177/2053951719853858"
"Doerr M, Maguire Truong A, **Bot BM**, Wilbanks J, Suver C, Mangravite L","Formative evaluation of participant experience with mobile eConsent in the app-mediated parkinson mPower study: a mixed methods study","JMIR Mhealth Uhealth","2017","10.2196/mhealth.6521"
"**Bot BM**, Suver C, Chaibub Neto E, Kellen M, Klein A, Bare C, Doerr M, Pratap A, Wilbanks J, Dorsey ER, Friend S, Trister A","The mPower study, parkinson disease mobile data collected using researchKit","Nature Scientific Data","2016","10.1038/sdata.2016.11"
"Guinney J, Dienstmann R, Wang X, de Reyniès A, Schlicker A, Soneson C, Marisa L, Roepman P, Nyamundanda G, Angelino P, **Bot BM**, Morris JS, Simon IM, Gerster S, Fessler E, De Sousa E Melo F, Missiaglia E, Ramay H, Barras D, Homicsko K, Maru D, Manyam GC, Broom B, Boige V, Perez-Villamil B, Laderas T, Salazar R, Gray JW, Hanahan D, Tabernero J, Bernards R, Friend SH, Laurent-Puig P, Medema JP, Sadanandam A, Wessels L, Delorenzi M, Kopetz S, Vermeulen L, Tejpar S","The consensus molecular subtypes of colorectal cancer","Nature Medicine","2015","10.1038/nm.3967"
"Derry J, Mangravite L, Suver C, Furia M, Henderson D, Schildwachter X, **Bot B**, Izant J, Sieberts S, Kellen M, Friend S","Developing predictive molecular maps of human disease through community-based modeling","Nature Genetics","2012","10.1038/ng.1089"
"Oberg A, **Bot B**, Grill D, Poland G, Therneau T","Technical and biological variance structure in mRNA-Seq data: life in the real world","BMC Genomics","2012","10.1186/1471-2164-13-304"
"**Bot B**, Eckel-Passow J, LeGrand, Hilton T, Cheville J, Igel T, Parker A","Expression of Endothelin-2 and Localized Clear Cell Renal Cell Carcinoma","Hum Pathol","2012","10.1016/j.humpath.2011.07.011"
"de Gramont A, Hubbard J, Shi Q, O’Connell M, Buyse M, Benedetti J, **Bot B**, O’Callaghan C, Yothers G, Goldberg R, Blanke C, Benson A, Deng Q, Alberts S, Andre T, Wolmark N, Grothey A, Sargent D","Association between disease-free survival and overall survival when survival is prolonged after recurrence in patients receiving cytotoxic adjuvant therapy for colon cancer: simulations based on the 20,800 patient ACCENT data set","J Clin Oncol","2010","10.1200/JCO.2009.23.1407"
"Sargent D, Kohne C, Sanoff H, **Bot B**, Seymour M, de Gramont A, Porschen R, Saltz L, Rougier P, Tournigand C, Douillard J, Stephens R, Grothey A, Goldberg R","Pooled safety and efficacy analysis examining the effect of performance status on outcomes in 9 first line treatment trials using individual patient data from 6,286 patients with metastatic colorectal cancer","J Clin Oncol","2009","10.1200/JCO.2008.20.2879"
